movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,comb,id
pirates of the caribbean: dead man's chest,GoreVerbinski,JohnnyDepp,OrlandoBloom,JackDavenport,Action  Adventure  Fantasy,JohnnyDepp OrlandoBloom JackDavenport GoreVerbinski Action  Adventure  Fantasy,
the lone ranger,GoreVerbinski,JohnnyDepp,RuthWilson,TomWilkinson,Action  Adventure  Western,JohnnyDepp RuthWilson TomWilkinson GoreVerbinski Action  Adventure  Western,
man of steel,ZackSnyder,HenryCavill,ChristopherMeloni,HarryLennix,Action  Adventure  Fantasy  Sci-Fi,HenryCavill ChristopherMeloni HarryLennix ZackSnyder Action  Adventure  Fantasy  Sci-Fi,
the chronicles of narnia: prince caspian,AndrewAdamson,PeterDinklage,PierfrancescoFavino,DamiánAlcázar,Action  Adventure  Family  Fantasy,PeterDinklage PierfrancescoFavino DamiánAlcázar AndrewAdamson Action  Adventure  Family  Fantasy,
pirates of the caribbean: on stranger tides,RobMarshall,JohnnyDepp,SamClaflin,StephenGraham,Action  Adventure  Fantasy,JohnnyDepp SamClaflin StephenGraham RobMarshall Action  Adventure  Fantasy,
men in black 3,BarrySonnenfeld,WillSmith,MichaelStuhlbarg,NicoleScherzinger,Action  Adventure  Comedy  Family  Fantasy  Sci-Fi,WillSmith MichaelStuhlbarg NicoleScherzinger BarrySonnenfeld Action  Adventure  Comedy  Family  Fantasy  Sci-Fi,
the hobbit: the battle of the five armies,PeterJackson,AidanTurner,AdamBrown,JamesNesbitt,Adventure  Fantasy,AidanTurner AdamBrown JamesNesbitt PeterJackson Adventure  Fantasy,
the amazing spider-man,MarcWebb,EmmaStone,AndrewGarfield,ChrisZylka,Action  Adventure  Fantasy,EmmaStone AndrewGarfield ChrisZylka MarcWebb Action  Adventure  Fantasy,
robin hood,RidleyScott,MarkAddy,WilliamHurt,ScottGrimes,Action  Adventure  Drama  History,MarkAddy WilliamHurt ScottGrimes RidleyScott Action  Adventure  Drama  History,
the hobbit: the desolation of smaug,PeterJackson,AidanTurner,AdamBrown,JamesNesbitt,Adventure  Fantasy,AidanTurner AdamBrown JamesNesbitt PeterJackson Adventure  Fantasy,
the golden compass,ChrisWeitz,ChristopherLee,EvaGreen,KristinScottThomas,Adventure  Family  Fantasy,ChristopherLee EvaGreen KristinScottThomas ChrisWeitz Adventure  Family  Fantasy,
titanic,JamesCameron,LeonardoDiCaprio,KateWinslet,GloriaStuart,Drama  Romance,LeonardoDiCaprio KateWinslet GloriaStuart JamesCameron Drama  Romance,
captain america: civil war,AnthonyRusso,RobertDowneyJr.,ScarlettJohansson,ChrisEvans,Action  Adventure  Sci-Fi,RobertDowneyJr. ScarlettJohansson ChrisEvans AnthonyRusso Action  Adventure  Sci-Fi,
battleship,PeterBerg,LiamNeeson,AlexanderSkarsgård,TadanobuAsano,Action  Adventure  Sci-Fi  Thriller,LiamNeeson AlexanderSkarsgård TadanobuAsano PeterBerg Action  Adventure  Sci-Fi  Thriller,
jurassic world,ColinTrevorrow,BryceDallasHoward,JudyGreer,OmarSy,Action  Adventure  Sci-Fi  Thriller,BryceDallasHoward JudyGreer OmarSy ColinTrevorrow Action  Adventure  Sci-Fi  Thriller,
spider-man 2,SamRaimi,J.K.Simmons,JamesFranco,KirstenDunst,Action  Adventure  Fantasy  Romance,J.K.Simmons JamesFranco KirstenDunst SamRaimi Action  Adventure  Fantasy  Romance,
iron man 3,ShaneBlack,RobertDowneyJr.,JonFavreau,DonCheadle,Action  Adventure  Sci-Fi,RobertDowneyJr. JonFavreau DonCheadle ShaneBlack Action  Adventure  Sci-Fi,
x-men: the last stand,BrettRatner,HughJackman,KelseyGrammer,DanielCudmore,Action  Adventure  Fantasy  Sci-Fi  Thriller,HughJackman KelseyGrammer DanielCudmore BrettRatner Action  Adventure  Fantasy  Sci-Fi  Thriller,
monsters university,DanScanlon,SteveBuscemi,TylerLabine,SeanHayes,Adventure  Animation  Comedy  Family  Fantasy,SteveBuscemi TylerLabine SeanHayes DanScanlon Adventure  Animation  Comedy  Family  Fantasy,
transformers: revenge of the fallen,MichaelBay,GlennMorshower,KevinDunn,RamonRodriguez,Action  Adventure  Sci-Fi,GlennMorshower KevinDunn RamonRodriguez MichaelBay Action  Adventure  Sci-Fi,
transformers: age of extinction,MichaelBay,BingbingLi,SophiaMyles,KelseyGrammer,Action  Adventure  Sci-Fi,BingbingLi SophiaMyles KelseyGrammer MichaelBay Action  Adventure  Sci-Fi,
the amazing spider-man 2,MarcWebb,EmmaStone,AndrewGarfield,B.J.Novak,Action  Adventure  Fantasy  Sci-Fi,EmmaStone AndrewGarfield B.J.Novak MarcWebb Action  Adventure  Fantasy  Sci-Fi,
cars 2,JohnLasseter,JoeMantegna,ThomasKretschmann,EddieIzzard,Adventure  Animation  Comedy  Family  Sport,JoeMantegna ThomasKretschmann EddieIzzard JohnLasseter Adventure  Animation  Comedy  Family  Sport,
green lantern,MartinCampbell,RyanReynolds,TemueraMorrison,TaikaWaititi,Action  Adventure  Sci-Fi,RyanReynolds TemueraMorrison TaikaWaititi MartinCampbell Action  Adventure  Sci-Fi,
toy story 3,LeeUnkrich,TomHanks,JohnRatzenberger,DonRickles,Adventure  Animation  Comedy  Family  Fantasy,TomHanks JohnRatzenberger DonRickles LeeUnkrich Adventure  Animation  Comedy  Family  Fantasy,
terminator salvation,McG,ChristianBale,BryceDallasHoward,Common,Action  Adventure  Sci-Fi,ChristianBale BryceDallasHoward Common McG Action  Adventure  Sci-Fi,
furious 7,JamesWan,JasonStatham,PaulWalker,VinDiesel,Action  Crime  Thriller,JasonStatham PaulWalker VinDiesel JamesWan Action  Crime  Thriller,
world war z,MarcForster,PeterCapaldi,BradPitt,MireilleEnos,Action  Adventure  Horror  Sci-Fi  Thriller,PeterCapaldi BradPitt MireilleEnos MarcForster Action  Adventure  Horror  Sci-Fi  Thriller,
x-men: days of future past,BryanSinger,JenniferLawrence,PeterDinklage,HughJackman,Action  Adventure  Fantasy  Sci-Fi  Thriller,JenniferLawrence PeterDinklage HughJackman BryanSinger Action  Adventure  Fantasy  Sci-Fi  Thriller,
star trek into darkness,J.J.Abrams,BenedictCumberbatch,BruceGreenwood,NoelClarke,Action  Adventure  Sci-Fi,BenedictCumberbatch BruceGreenwood NoelClarke J.J.Abrams Action  Adventure  Sci-Fi,
jack the giant slayer,BryanSinger,EddieMarsan,EwenBremner,RalphBrown,Adventure  Fantasy,EddieMarsan EwenBremner RalphBrown BryanSinger Adventure  Fantasy,
prince of persia: the sands of time,MikeNewell,JakeGyllenhaal,RichardCoyle,ReeceRitchie,Action  Adventure  Fantasy  Romance,JakeGyllenhaal RichardCoyle ReeceRitchie MikeNewell Action  Adventure  Fantasy  Romance,
pacific rim,GuillermodelToro,CharlieHunnam,CliftonCollinsJr.,LarryJoeCampbell,Action  Adventure  Sci-Fi,CharlieHunnam CliftonCollinsJr. LarryJoeCampbell GuillermodelToro Action  Adventure  Sci-Fi,
transformers: dark of the moon,MichaelBay,GlennMorshower,LesterSpeight,KevinDunn,Action  Adventure  Sci-Fi,GlennMorshower LesterSpeight KevinDunn MichaelBay Action  Adventure  Sci-Fi,
indiana jones and the kingdom of the crystal skull,StevenSpielberg,HarrisonFord,RayWinstone,JimBroadbent,Action  Adventure  Fantasy,HarrisonFord RayWinstone JimBroadbent StevenSpielberg Action  Adventure  Fantasy,
the good dinosaur,PeterSohn,A.J.Buckley,JackMcGraw,PeterSohn,Adventure  Animation  Comedy  Family  Fantasy,A.J.Buckley JackMcGraw PeterSohn PeterSohn Adventure  Animation  Comedy  Family  Fantasy,
brave,MarkAndrews,KellyMacdonald,JohnRatzenberger,JulieWalters,Adventure  Animation  Comedy  Family  Fantasy,KellyMacdonald JohnRatzenberger JulieWalters MarkAndrews Adventure  Animation  Comedy  Family  Fantasy,
star trek beyond,JustinLin,SofiaBoutella,MelissaRoxburgh,LydiaWilson,Action  Adventure  Sci-Fi  Thriller,SofiaBoutella MelissaRoxburgh LydiaWilson JustinLin Action  Adventure  Sci-Fi  Thriller,
wall·e,AndrewStanton,JohnRatzenberger,FredWillard,JeffGarlin,Adventure  Animation  Family  Sci-Fi,JohnRatzenberger FredWillard JeffGarlin AndrewStanton Adventure  Animation  Family  Sci-Fi,
rush hour 3,BrettRatner,TziMa,DanaIvey,NoémieLenoir,Action  Comedy  Crime  Thriller,TziMa DanaIvey NoémieLenoir BrettRatner Action  Comedy  Crime  Thriller,
2012,RolandEmmerich,OliverPlatt,LiamJames,TomMcCarthy,Action  Adventure  Sci-Fi,OliverPlatt LiamJames TomMcCarthy RolandEmmerich Action  Adventure  Sci-Fi,
a christmas carol,RobertZemeckis,RobinWright,ColinFirth,GaryOldman,Animation  Drama  Family  Fantasy,RobinWright ColinFirth GaryOldman RobertZemeckis Animation  Drama  Family  Fantasy,
jupiter ascending,LanaWachowski,ChanningTatum,MilaKunis,EddieRedmayne,Action  Adventure  Sci-Fi,ChanningTatum MilaKunis EddieRedmayne LanaWachowski Action  Adventure  Sci-Fi,
"the chronicles of narnia: the lion, the witch and the wardrobe",AndrewAdamson,JimBroadbent,KiranShah,ShaneRangi,Adventure  Family  Fantasy,JimBroadbent KiranShah ShaneRangi AndrewAdamson Adventure  Family  Fantasy,
x-men: apocalypse,BryanSinger,JenniferLawrence,MichaelFassbender,TyeSheridan,Action  Adventure  Sci-Fi,JenniferLawrence MichaelFassbender TyeSheridan BryanSinger Action  Adventure  Sci-Fi,
the dark knight,ChristopherNolan,ChristianBale,HeathLedger,MorganFreeman,Action  Crime  Drama  Thriller,ChristianBale HeathLedger MorganFreeman ChristopherNolan Action  Crime  Drama  Thriller,
up,PeteDocter,JohnRatzenberger,DelroyLindo,JessHarnell,Adventure  Animation  Comedy  Family,JohnRatzenberger DelroyLindo JessHarnell PeteDocter Adventure  Animation  Comedy  Family,
monsters vs. aliens,RobLetterman,AmyPoehler,RainnWilson,StephenColbert,Action  Adventure  Animation  Comedy  Family  Sci-Fi,AmyPoehler RainnWilson StephenColbert RobLetterman Action  Adventure  Animation  Comedy  Family  Sci-Fi,
iron man,JonFavreau,RobertDowneyJr.,JeffBridges,JonFavreau,Action  Adventure  Sci-Fi,RobertDowneyJr. JeffBridges JonFavreau JonFavreau Action  Adventure  Sci-Fi,
hugo,MartinScorsese,ChloëGraceMoretz,ChristopherLee,RayWinstone,Adventure  Drama  Family  Mystery,ChloëGraceMoretz ChristopherLee RayWinstone MartinScorsese Adventure  Drama  Family  Mystery,
wild wild west,BarrySonnenfeld,WillSmith,SalmaHayek,BaiLing,Action  Comedy  Sci-Fi  Western,WillSmith SalmaHayek BaiLing BarrySonnenfeld Action  Comedy  Sci-Fi  Western,
the mummy: tomb of the dragon emperor,RobCohen,JetLi,BrendanFraser,RussellWong,Action  Adventure  Fantasy  Horror  Thriller,JetLi BrendanFraser RussellWong RobCohen Action  Adventure  Fantasy  Horror  Thriller,
suicide squad,DavidAyer,WillSmith,RobinAtkinDownes,IkeBarinholtz,Action  Adventure  Comedy  Sci-Fi,WillSmith RobinAtkinDownes IkeBarinholtz DavidAyer Action  Adventure  Comedy  Sci-Fi,
evan almighty,TomShadyac,JimmyBennett,MorganFreeman,SteveCarell,Comedy  Family  Fantasy,JimmyBennett MorganFreeman SteveCarell TomShadyac Comedy  Family  Fantasy,
edge of tomorrow,DougLiman,TomCruise,LaraPulver,NoahTaylor,Action  Adventure  Sci-Fi,TomCruise LaraPulver NoahTaylor DougLiman Action  Adventure  Sci-Fi,
waterworld,KevinReynolds,JeanneTripplehorn,RickAviles,ZakesMokae,Action  Adventure  Sci-Fi  Thriller,JeanneTripplehorn RickAviles ZakesMokae KevinReynolds Action  Adventure  Sci-Fi  Thriller,
g.i. joe: the rise of cobra,StephenSommers,JosephGordon-Levitt,DennisQuaid,LeoHoward,Action  Adventure  Sci-Fi  Thriller,JosephGordon-Levitt DennisQuaid LeoHoward StephenSommers Action  Adventure  Sci-Fi  Thriller,
inside out,PeteDocter,AmyPoehler,MindyKaling,PhyllisSmith,Adventure  Animation  Comedy  Drama  Family  Fantasy,AmyPoehler MindyKaling PhyllisSmith PeteDocter Adventure  Animation  Comedy  Drama  Family  Fantasy,
iron man 2,JonFavreau,RobertDowneyJr.,ScarlettJohansson,JonFavreau,Action  Adventure  Sci-Fi,RobertDowneyJr. ScarlettJohansson JonFavreau JonFavreau Action  Adventure  Sci-Fi,
snow white and the huntsman,RupertSanders,ChrisHemsworth,KristenStewart,SamClaflin,Action  Adventure  Drama  Fantasy,ChrisHemsworth KristenStewart SamClaflin RupertSanders Action  Adventure  Drama  Fantasy,
maleficent,RobertStromberg,AngelinaJoliePitt,SharltoCopley,SamRiley,Action  Adventure  Family  Fantasy  Romance,AngelinaJoliePitt SharltoCopley SamRiley RobertStromberg Action  Adventure  Family  Fantasy  Romance,
dawn of the planet of the apes,MattReeves,GaryOldman,JudyGreer,KodiSmit-McPhee,Action  Adventure  Drama  Sci-Fi,GaryOldman JudyGreer KodiSmit-McPhee MattReeves Action  Adventure  Drama  Sci-Fi,
47 ronin,CarlRinsch,KeanuReeves,Cary-HiroyukiTagawa,JinAkanishi,Action  Adventure  Drama  Fantasy,KeanuReeves Cary-HiroyukiTagawa JinAkanishi CarlRinsch Action  Adventure  Drama  Fantasy,
captain america: the winter soldier,AnthonyRusso,ScarlettJohansson,ChrisEvans,HayleyAtwell,Action  Adventure  Sci-Fi,ScarlettJohansson ChrisEvans HayleyAtwell AnthonyRusso Action  Adventure  Sci-Fi,
shrek forever after,MikeMitchell,JonHamm,KathyGriffin,MaryKayPlace,Adventure  Animation  Comedy  Family  Fantasy,JonHamm KathyGriffin MaryKayPlace MikeMitchell Adventure  Animation  Comedy  Family  Fantasy,
tomorrowland,BradBird,JudyGreer,ChrisBauer,ThomasRobinson,Action  Adventure  Family  Mystery  Sci-Fi,JudyGreer ChrisBauer ThomasRobinson BradBird Action  Adventure  Family  Mystery  Sci-Fi,
big hero 6,DonHall,DamonWayansJr.,DanielHenney,AbrahamBenrubi,Action  Adventure  Animation  Comedy  Drama  Family  Sci-Fi,DamonWayansJr. DanielHenney AbrahamBenrubi DonHall Action  Adventure  Animation  Comedy  Drama  Family  Sci-Fi,
wreck-it ralph,RichMoore,JackMcBrayer,SarahSilverman,JoeLoTruglio,Adventure  Animation  Comedy  Family  Sci-Fi,JackMcBrayer SarahSilverman JoeLoTruglio RichMoore Adventure  Animation  Comedy  Family  Sci-Fi,
the polar express,RobertZemeckis,TomHanks,EddieDeezen,PeterScolari,Adventure  Animation  Family  Fantasy,TomHanks EddieDeezen PeterScolari RobertZemeckis Adventure  Animation  Family  Fantasy,
independence day: resurgence,RolandEmmerich,VivicaA.Fox,SelaWard,JuddHirsch,Action  Adventure  Sci-Fi,VivicaA.Fox SelaWard JuddHirsch RolandEmmerich Action  Adventure  Sci-Fi,
how to train your dragon,DeanDeBlois,GerardButler,AmericaFerrera,CraigFerguson,Adventure  Animation  Family  Fantasy,GerardButler AmericaFerrera CraigFerguson DeanDeBlois Adventure  Animation  Family  Fantasy,
terminator 3: rise of the machines,JonathanMostow,NickStahl,M.C.Gainey,CarolynHennesy,Action  Sci-Fi,NickStahl M.C.Gainey CarolynHennesy JonathanMostow Action  Sci-Fi,
guardians of the galaxy,JamesGunn,BradleyCooper,VinDiesel,DjimonHounsou,Action  Adventure  Sci-Fi,BradleyCooper VinDiesel DjimonHounsou JamesGunn Action  Adventure  Sci-Fi,
interstellar,ChristopherNolan,MatthewMcConaughey,AnneHathaway,MackenzieFoy,Adventure  Drama  Sci-Fi,MatthewMcConaughey AnneHathaway MackenzieFoy ChristopherNolan Adventure  Drama  Sci-Fi,
inception,ChristopherNolan,LeonardoDiCaprio,TomHardy,JosephGordon-Levitt,Action  Adventure  Sci-Fi  Thriller,LeonardoDiCaprio TomHardy JosephGordon-Levitt ChristopherNolan Action  Adventure  Sci-Fi  Thriller,
the hobbit: an unexpected journey,PeterJackson,AidanTurner,AdamBrown,JamesNesbitt,Adventure  Fantasy,AidanTurner AdamBrown JamesNesbitt PeterJackson Adventure  Fantasy,
the curious case of benjamin button,DavidFincher,BradPitt,JasonFlemyng,JuliaOrmond,Drama  Fantasy  Romance,BradPitt JasonFlemyng JuliaOrmond DavidFincher Drama  Fantasy  Romance,
x-men: first class,MatthewVaughn,JenniferLawrence,MichaelFassbender,OliverPlatt,Action  Adventure  Sci-Fi,JenniferLawrence MichaelFassbender OliverPlatt MatthewVaughn Action  Adventure  Sci-Fi,
the hunger games: mockingjay - part 2,FrancisLawrence,JenniferLawrence,PhilipSeymourHoffman,JoshHutcherson,Adventure  Sci-Fi,JenniferLawrence PhilipSeymourHoffman JoshHutcherson FrancisLawrence Adventure  Sci-Fi,
the sorcerer's apprentice,JonTurteltaub,NicolasCage,OmarBensonMiller,RobertCapron,Action  Adventure  Family  Fantasy,NicolasCage OmarBensonMiller RobertCapron JonTurteltaub Action  Adventure  Family  Fantasy,
poseidon,WolfgangPetersen,JimmyBennett,MikeVogel,AndreBraugher,Action  Adventure  Drama  Thriller,JimmyBennett MikeVogel AndreBraugher WolfgangPetersen Action  Adventure  Drama  Thriller,
alice through the looking glass,JamesBobin,JohnnyDepp,AlanRickman,AnneHathaway,Adventure  Family  Fantasy,JohnnyDepp AlanRickman AnneHathaway JamesBobin Adventure  Family  Fantasy,
shrek the third,ChrisMiller,JustinTimberlake,EricIdle,RupertEverett,Adventure  Animation  Comedy  Family  Fantasy,JustinTimberlake EricIdle RupertEverett ChrisMiller Adventure  Animation  Comedy  Family  Fantasy,
warcraft,DuncanJones,DominicCooper,CallumRennie,RuthNegga,Action  Adventure  Fantasy,DominicCooper CallumRennie RuthNegga DuncanJones Action  Adventure  Fantasy,
terminator genisys,AlanTaylor,J.K.Simmons,EmiliaClarke,MattSmith,Action  Adventure  Sci-Fi,J.K.Simmons EmiliaClarke MattSmith AlanTaylor Action  Adventure  Sci-Fi,
the chronicles of narnia: the voyage of the dawn treader,MichaelApted,BruceSpence,ShaneRangi,LauraBrent,Adventure  Family  Fantasy,BruceSpence ShaneRangi LauraBrent MichaelApted Adventure  Family  Fantasy,
pearl harbor,MichaelBay,JenniferGarner,JaimeKing,Mako,Action  Drama  History  Romance  War,JenniferGarner JaimeKing Mako MichaelBay Action  Drama  History  Romance  War,
transformers,MichaelBay,ZackWard,MichaelO'Neill,KevinDunn,Action  Adventure  Sci-Fi,ZackWard MichaelO'Neill KevinDunn MichaelBay Action  Adventure  Sci-Fi,
alexander,OliverStone,AnthonyHopkins,AngelinaJoliePitt,BrianBlessed,Action  Adventure  Biography  Drama  History  Romance  War,AnthonyHopkins AngelinaJoliePitt BrianBlessed OliverStone Action  Adventure  Biography  Drama  History  Romance  War,
harry potter and the order of the phoenix,DavidYates,RobertPattinson,DanielRadcliffe,FionaShaw,Adventure  Family  Fantasy  Mystery,RobertPattinson DanielRadcliffe FionaShaw DavidYates Adventure  Family  Fantasy  Mystery,
harry potter and the goblet of fire,MikeNewell,RobertPattinson,DanielRadcliffe,RupertGrint,Adventure  Family  Fantasy  Mystery,RobertPattinson DanielRadcliffe RupertGrint MikeNewell Adventure  Family  Fantasy  Mystery,
hancock,PeterBerg,WillSmith,CharlizeTheron,EddieMarsan,Action  Drama,WillSmith CharlizeTheron EddieMarsan PeterBerg Action  Drama,
i am legend,FrancisLawrence,WillSmith,AliceBraga,WillowSmith,Drama  Horror  Sci-Fi,WillSmith AliceBraga WillowSmith FrancisLawrence Drama  Horror  Sci-Fi,
charlie and the chocolate factory,TimBurton,JohnnyDepp,ChristopherLee,DavidKelly,Adventure  Comedy  Family  Fantasy,JohnnyDepp ChristopherLee DavidKelly TimBurton Adventure  Comedy  Family  Fantasy,
ratatouille,BradBird,JaneaneGarofalo,JohnRatzenberger,BrianDennehy,Animation  Comedy  Family  Fantasy,JaneaneGarofalo JohnRatzenberger BrianDennehy BradBird Animation  Comedy  Family  Fantasy,
batman begins,ChristopherNolan,ChristianBale,LiamNeeson,MorganFreeman,Action  Adventure,ChristianBale LiamNeeson MorganFreeman ChristopherNolan Action  Adventure,
madagascar: escape 2 africa,EricDarnell,BernieMac,JadaPinkettSmith,CedrictheEntertainer,Action  Adventure  Animation  Comedy  Family,BernieMac JadaPinkettSmith CedrictheEntertainer EricDarnell Action  Adventure  Animation  Comedy  Family,
night at the museum: battle of the smithsonian,ShawnLevy,RobinWilliams,RamiMalek,SteveCoogan,Adventure  Comedy  Family  Fantasy,RobinWilliams RamiMalek SteveCoogan ShawnLevy Adventure  Comedy  Family  Fantasy,
x-men origins: wolverine,GavinHood,HughJackman,RyanReynolds,DominicMonaghan,Action  Adventure  Fantasy  Sci-Fi  Thriller,HughJackman RyanReynolds DominicMonaghan GavinHood Action  Adventure  Fantasy  Sci-Fi  Thriller,
the matrix revolutions,LanaWachowski,EssieDavis,CollinChou,NonaGaye,Action  Sci-Fi,EssieDavis CollinChou NonaGaye LanaWachowski Action  Sci-Fi,
frozen,ChrisBuck,JoshGad,MauriceLaMarche,LivvyStubenrauch,Adventure  Animation  Comedy  Family  Fantasy  Musical,JoshGad MauriceLaMarche LivvyStubenrauch ChrisBuck Adventure  Animation  Comedy  Family  Fantasy  Musical,
the matrix reloaded,LanaWachowski,SteveBastoni,DanielBernhardt,HelmutBakaitis,Action  Sci-Fi,SteveBastoni DanielBernhardt HelmutBakaitis LanaWachowski Action  Sci-Fi,
thor: the dark world,AlanTaylor,ChrisHemsworth,NataliePortman,AnthonyHopkins,Action  Adventure  Fantasy,ChrisHemsworth NataliePortman AnthonyHopkins AlanTaylor Action  Adventure  Fantasy,
mad max: fury road,GeorgeMiller,TomHardy,CharlizeTheron,ZoëKravitz,Action  Adventure  Sci-Fi  Thriller,TomHardy CharlizeTheron ZoëKravitz GeorgeMiller Action  Adventure  Sci-Fi  Thriller,
angels & demons,RonHoward,TomHanks,AyeletZurer,ArminMueller-Stahl,Mystery  Thriller,TomHanks AyeletZurer ArminMueller-Stahl RonHoward Mystery  Thriller,
thor,KennethBranagh,ChrisHemsworth,NataliePortman,AnthonyHopkins,Action  Adventure  Fantasy,ChrisHemsworth NataliePortman AnthonyHopkins KennethBranagh Action  Adventure  Fantasy,
bolt,ByronHoward,ChloëGraceMoretz,DiedrichBader,JamesLipton,Adventure  Animation  Comedy  Drama  Family,ChloëGraceMoretz DiedrichBader JamesLipton ByronHoward Adventure  Animation  Comedy  Drama  Family,
g-force,HoytYeatman,KelliGarner,PiperMackenzieHarris,NiecyNash,Action  Adventure  Animation  Comedy  Family  Fantasy  Sci-Fi,KelliGarner PiperMackenzieHarris NiecyNash HoytYeatman Action  Adventure  Animation  Comedy  Family  Fantasy  Sci-Fi,
wrath of the titans,JonathanLiebesman,LiamNeeson,EdgarRamírez,LilyJames,Action  Adventure  Fantasy,LiamNeeson EdgarRamírez LilyJames JonathanLiebesman Action  Adventure  Fantasy,
dark shadows,TimBurton,JohnnyDepp,ChloëGraceMoretz,ChristopherLee,Comedy  Fantasy  Horror,JohnnyDepp ChloëGraceMoretz ChristopherLee TimBurton Comedy  Fantasy  Horror,
mission: impossible - rogue nation,ChristopherMcQuarrie,TomCruise,JeremyRenner,SeanHarris,Action  Adventure  Thriller,TomCruise JeremyRenner SeanHarris ChristopherMcQuarrie Action  Adventure  Thriller,
the wolfman,JoeJohnston,AnthonyHopkins,SimonMerrells,ArtMalik,Drama  Fantasy  Horror  Thriller,AnthonyHopkins SimonMerrells ArtMalik JoeJohnston Drama  Fantasy  Horror  Thriller,
the legend of tarzan,DavidYates,ChristophWaltz,AlexanderSkarsgård,CasperCrump,Action  Adventure  Drama  Romance,ChristophWaltz AlexanderSkarsgård CasperCrump DavidYates Action  Adventure  Drama  Romance,
bee movie,SteveHickner,MatthewBroderick,OprahWinfrey,RipTorn,Adventure  Animation  Comedy  Family,MatthewBroderick OprahWinfrey RipTorn SteveHickner Adventure  Animation  Comedy  Family,
kung fu panda 2,JenniferYuhNelson,AngelinaJoliePitt,GaryOldman,MikeBell,Action  Adventure  Animation  Comedy  Family,AngelinaJoliePitt GaryOldman MikeBell JenniferYuhNelson Action  Adventure  Animation  Comedy  Family,
the last airbender,M.NightShyamalan,SeychelleGabriel,NoahRinger,AasifMandvi,Action  Adventure  Family  Fantasy,SeychelleGabriel NoahRinger AasifMandvi M.NightShyamalan Action  Adventure  Family  Fantasy,
mission: impossible iii,J.J.Abrams,PhilipSeymourHoffman,TomCruise,EddieMarsan,Action  Adventure  Thriller,PhilipSeymourHoffman TomCruise EddieMarsan J.J.Abrams Action  Adventure  Thriller,
white house down,RolandEmmerich,ChanningTatum,JakeWeber,MattCraven,Action  Drama  Thriller,ChanningTatum JakeWeber MattCraven RolandEmmerich Action  Drama  Thriller,
mars needs moms,SimonWells,ElisabethHarnois,DanFogler,TomEverettScott,Action  Adventure  Animation  Comedy  Family  Sci-Fi,ElisabethHarnois DanFogler TomEverettScott SimonWells Action  Adventure  Animation  Comedy  Family  Sci-Fi,
flushed away,DavidBowers,HughJackman,KateWinslet,DavidSuchet,Adventure  Animation  Comedy  Family,HughJackman KateWinslet DavidSuchet DavidBowers Adventure  Animation  Comedy  Family,
